Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation,scraped_at,cotation,source
2026-04-17,ATW,ATW,703.0,704.0,704.9,701.1,12215,8599360.0,78,151459150656.0,2026-04-17T13:47:54+01:00,2026-04-17T13:29+01:00,medias24_live_snapshot
2026-04-17,ATW,ATW,703.0,704.0,704.9,701.1,12215,8599360.0,78,151459150656.0,2026-04-17T13:51:00+01:00,2026-04-17T13:29+01:00,medias24_live_snapshot
